node,degree,betweenness,pagerank
Quỹ đầu tư Finance Suisse,0.00012156576707999027,0.0,6.744238995081354e-05
Palmer Johnson,0.0004862630683199611,5.912012988692536e-08,0.00015334765598019073
tỉnh Bình Định,0.0015803549720398735,0.0,0.0006845325253959574
Sensor Tower,0.0008509603695599319,3.3401579960768836e-05,0.00011516753774491196
Việt Nam,0.1601021152443472,0.0,0.06983075579695455
Đại sứ quán Thụy Sĩ,0.00024313153415998054,0.0,6.744238995081354e-05
Tổng cục Kinh tế Liên bang Thụy Sĩ,0.00024313153415998054,1.478003247173134e-08,9.607747862727259e-05
SECO,0.00012156576707999027,0.0,9.607747862727259e-05
Tổng cục Hải Quan,0.00012156576707999027,0.0,6.744238995081354e-05
VinaSources,0.00012156576707999027,0.0,0.00012471256730373165
Nam A Bank,0.002188183807439825,0.0003479629584468416,0.0001619755193725056
OneBank,0.00024313153415998054,1.5297333608241935e-05,7.799082407166083e-05
chợ đầu mối Bình Điền,0.00012156576707999027,0.0,0.00013380312361964555
Bộ KH&CN,0.008631169462679309,0.0017895452569845851,0.0007044946032600456
Tây Bắc,0.0008509603695599319,0.0,0.0003687509254922891
Amazon,0.0038901045465596887,0.0005566182793323332,0.0003419323018337648
Bloomberg,0.0055920252856795525,0.0008716406876624693,0.0003934663295147815
HR Asia,0.002188183807439825,0.00010493488451416353,0.0003362386292176174
Swarovski Việt Nam,0.00024313153415998054,0.0,9.615202134667705e-05
châu Á,0.012885971310478968,0.0,0.0047051385344142604
Cục Quản lý và Phát triển thị trường trong nước,0.0012156576707999028,0.00018003557553815947,0.0001784660199444027
Bộ Công Thương,0.011062484804279115,0.0026319863563799327,0.0006067899258244063
AgriS,0.00024313153415998054,0.0,9.615202134667705e-05
Apple,0.015317286652078774,0.0036090588267380067,0.0006807860154791222
CNN,0.0025528811086797955,0.0022095039141891083,0.0004318623065559334
Google,0.011184050571359105,0.002078380425260433,0.0007167408426537375
Thung lũng Silicon,0.0010940919037199124,0.0,0.00037397066896011267
Sở Y tế Hà Nội,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
Hà Nội,0.03598346705567712,0.0,0.013464283757376303
Câu lạc bộ Nhà báo CNTT Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
Chuyển đổi số,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
Kamidi,0.00012156576707999027,0.0,6.744238995081354e-05
CMC,0.0049841964502796016,0.0010783855134740125,0.000669411432892859
Tập đoàn CMC,0.0006078288353999514,2.0315496056532874e-05,0.0001011425379260684
Sài Gòn,0.0006078288353999514,1.2563027600971638e-07,0.0002291471670543374
KBC,0.0006078288353999514,1.0346022730211938e-07,0.0001390301116419612
Doji,0.0024313153415998056,0.00026072804815752316,0.00015858017906245734
SJC,0.005713591052759543,0.0025139710952354006,0.0002674869563683241
Thanh tra Chính phủ,0.0008509603695599319,7.713293554281098e-05,7.68643812331761e-05
Công ty CP Xuất nhập khẩu Vật tư Nông nghiệp III,0.00012156576707999027,0.0,7.833476446221731e-05
Uỷ ban Chứng khoán Nhà nước,0.00024313153415998054,1.478003247173134e-08,7.833476446221731e-05
Phòng ANM và PCTP sử dụng CNC,0.00012156576707999027,0.0,6.744238995081354e-05
thành phố Bắc Kạn,0.00012156576707999027,0.0,0.00012471256730373165
Oilprice,0.0015803549720398735,0.00029725224437016746,0.00019899629411025346
Mỹ,0.04801847799659616,0.0,0.017850673571047627
Shopee,0.0024313153415998056,0.0005848829493291774,0.0002466428986003212
Rô,0.00024313153415998054,2.3683402465335656e-07,8.36109982273344e-05
Nghệ An,0.001337223437879893,0.0,0.0005040867763605652
Japfa,0.0006078288353999514,4.632062176640602e-05,0.00016878953141441147
Japfa Việt Nam,0.0006078288353999514,1.5519034095317906e-05,0.00019440201183022122
DefenseSphere,0.00012156576707999027,0.0,6.744238995081354e-05
Trung Quốc,0.03586190128859713,0.0,0.01514184907851457
9Pay,0.00012156576707999027,0.0,6.744238995081354e-05
Bộ Công an,0.007901774860199367,0.0017072798054649809,0.0006628827169788691
Hiệp hội An ninh mạng quốc gia,0.0017019207391198638,0.00014137598262312459,0.00010897883485844556
NATO,0.005105762217359591,0.000680658638844422,0.00072039315243767
Pháp,0.003525407245319718,0.0,0.0013573340776628126
Bluesky,0.00012156576707999027,0.0,6.744238995081354e-05
Brazil,0.0007293946024799417,0.0,0.0002953651835271924
VietNamNet,0.024434719183078046,0.007581057390854076,0.0011364019462347494
Bắc Giang,0.0008509603695599319,0.0,0.00041777227779645653
Tập đoàn FPT,0.0038901045465596887,0.0006831197941475917,0.0004156657896110516
Cục Chuyển đổi số Quốc gia,0.0004862630683199611,0.0,6.744238995081354e-05
Kiểm toán Nhà nước,0.0007293946024799417,0.0,6.744238995081354e-05
KTNN,0.00024313153415998054,7.39001623586567e-09,7.698741950963322e-05
TP Hà Nội,0.0007293946024799417,0.0,0.0002379381997701387
Reuters,0.0014587892049598833,0.00010548540846572808,0.00015446293276576668
Tesla,0.004254801847799659,0.00048060305092640255,0.0002182509331593069
Bali,0.00024313153415998054,0.0,9.452865404831979e-05
TikTok,0.0025528811086797955,0.0003074778715031279,0.00038893153038229025
Trung tâm Y tế TX Quảng Yên,0.00012156576707999027,0.0,6.744238995081354e-05
TP Hạ Long,0.0006078288353999514,0.0,0.00031134044283631163
Niricson,0.00012156576707999027,0.0,6.744238995081354e-05
Cầu Seongsu,0.00012156576707999027,0.0,0.00012471256730373165
Anduril Industries,0.00024313153415998054,0.0,6.744238995081354e-05
Windows Central,0.00012156576707999027,0.0,6.744238995081354e-05
miền Đông,0.00024313153415998054,0.0,0.00014438612570182334
Ookla,0.0009725261366399222,9.315416157323676e-05,0.00013531845539535862
Viettel,0.011913445173839047,0.003990624687037678,0.000811343431783073
Vertu Việt Nam,0.00024313153415998054,0.0,6.744238995081354e-05
Amazon Global Selling Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
Đài Loan,0.001823486506199854,0.0,0.0005710160596657559
National Interest,0.00024313153415998054,0.0,6.744238995081354e-05
Nga,0.009968392900559203,0.0,0.003706575687819149
EVNNPT,0.0015803549720398735,0.00015379030237729432,0.0002687054526730845
Công ty Truyền tải điện 4,0.00024313153415998054,1.53268936731854e-05,9.994872578717367e-05
TBA 500kV,0.00012156576707999027,0.0,0.00015239474860531896
UBND,0.029054218332117673,0.006794591540514146,0.002794210421800777
xã Lương Nghĩa,0.00012156576707999027,0.0,8.225973342463919e-05
Samsung,0.00887430099683929,0.0015221032387428882,0.0007260595785443097
đạo Hồi,0.00024313153415998054,0.0,6.744238995081354e-05
Cơ quan Thực phẩm và Dược phẩm Ả Rập Xê Út,0.00024313153415998054,1.478003247173134e-08,9.607747862727259e-05
ITPC,0.00012156576707999027,0.0,9.607747862727259e-05
Trung Đông,0.004862630683199611,0.0,0.001690571685517107
Hội Truyền thông số Việt Nam,0.0004862630683199611,1.5241908486472945e-05,7.449954577591561e-05
Sở Khoa học và Công nghệ Hải Phòng,0.00012156576707999027,0.0,6.744238995081354e-05
Quỹ đầu tư mạo hiểm thành phố Hải Phòng,0.00024313153415998054,1.478003247173134e-08,0.00012471256730373165
Hải Phòng,0.0038901045465596887,0.0,0.0014536184858660666
VNPT,0.0061998541210795035,0.000721415929867438,0.0006064869610467569
Bộ TT&TT,0.011548747872599076,0.0020125043806524887,0.0006254414805874257
Vụ Chính sách tiền tệ,0.00012156576707999027,0.0,6.744238995081354e-05
Ngân hàng Nhà nước,0.005835156819839533,0.003314088275799327,0.00059648531328912
Nitori,0.00012156576707999027,0.0,6.744238995081354e-05
TTTM Vincom,0.00012156576707999027,0.0,0.00012471256730373165
Công ty TNHH Chagee Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
TPHCM,0.020179917335278384,0.0,0.007694406086886066
Trung tâm Vũ trụ Việt Nam,0.0009725261366399222,2.5865056825529843e-07,0.00015334765598019073
Viện Hàn lâm Khoa học và Công nghệ Việt Nam,0.00024313153415998054,4.4340097415194024e-08,8.923946556695442e-05
Khu Công nghệ cao Hòa Lạc,0.00036469730123997083,0.0,0.00018675413299995352
