entity_type,node_count,median_degree,mean_influence,high_influence_nodes,noise_like_nodes
INDUSTRY,56,3.0,0.04648802640586406,28,7
ORGANIZATION,2411,1.0,0.01867958916480062,533,2
LOCATION,133,1.0,0.011485953817275605,11,0
DATE,30,2.0,0.008796812940517592,3,9
EVENT,35,1.0,0.008580254823296753,2,0
PERCENT,243,1.0,0.008269478516149613,16,18
PRODUCT,38,1.0,0.006562405611135892,3,0
MONEY,640,1.0,0.006236966862421106,22,0
UNKNOWN,2403,1.0,0.005246171101184462,106,627
PERSON,1299,1.0,0.00090499804630408,5,0
