ranking_group,rank,node,entity_type,total_degree,pagerank,betweenness,relation_diversity,influence_score,betweenness_x_diversity,in_degree,out_degree,degree_gap,flow_pattern,avg_edge_confidence,max_edge_confidence,total_edge_frequency
top_influence,1,FPT,ORGANIZATION,91.0,0.0031114750343618,0.0016453159610906,8.0,0.7197846428948099,,,,,,,,
top_influence,2,Viettel,ORGANIZATION,69.0,0.0026050955729406,0.001863479394278,7.0,0.6394218187990023,,,,,,,,
top_influence,3,Apple,ORGANIZATION,73.0,0.0010286409354198,0.0015872143640286,9.0,0.4460903773658382,,,,,,,,
top_influence,4,Bộ Công an,ORGANIZATION,28.0,0.0017494336130547,0.0014273180503198,3.0,0.4100557406346822,,,,,,,,
top_influence,5,Google,ORGANIZATION,40.0,0.0013886616191271,0.0014008297549503,7.0,0.385664748574779,,,,,,,,
top_influence,6,UBND,ORGANIZATION,42.0,0.0019828821158211,0.0004081322685317,6.0,0.355783685888612,,,,,,,,
top_influence,7,Việt Nam,LOCATION,107.0,0.000663314119867,0.0007723789283465,5.0,0.3554632729304171,,,,,,,,
top_influence,8,Fed,ORGANIZATION,16.0,0.0007737764996006,7.474294548079415e-06,3.0,0.3150946248734266,,,,,,,,
top_influence,9,Bộ Tài chính,ORGANIZATION,24.0,0.0014244825431685,0.0007708646217115,4.0,0.2921088615686269,,,,,,,,
top_influence,10,Nvidia,ORGANIZATION,38.0,0.0005833363276365,0.0012660870037853,9.0,0.2815888070317654,,,,,,,,
top_pagerank,1,FPT,ORGANIZATION,91.0,0.0031114750343618,0.0016453159610906,8.0,0.7197846428948099,,,,,,,,
top_pagerank,2,Viettel,ORGANIZATION,69.0,0.0026050955729406,0.001863479394278,7.0,0.6394218187990023,,,,,,,,
top_pagerank,3,UBND,ORGANIZATION,42.0,0.0019828821158211,0.0004081322685317,6.0,0.355783685888612,,,,,,,,
top_pagerank,4,465.819 tỷ,MONEY,1.0,0.0019102415174285,0.0,1.0,0.225687847057107,,,,,,,,
top_pagerank,5,Bộ Công an,ORGANIZATION,28.0,0.0017494336130547,0.0014273180503198,3.0,0.4100557406346822,,,,,,,,
top_pagerank,6,Cục An toàn thông tin,ORGANIZATION,18.0,0.001621161582322,0.0004333575380232,1.0,0.2688507024255799,,,,,,,,
top_pagerank,7,Mỹ,LOCATION,37.0,0.0014273120928418,0.0002336090977752,5.0,0.2596353998823888,,,,,,,,
top_pagerank,8,Bộ Tài chính,ORGANIZATION,24.0,0.0014244825431685,0.0007708646217115,4.0,0.2921088615686269,,,,,,,,
top_pagerank,9,Google,ORGANIZATION,40.0,0.0013886616191271,0.0014008297549503,7.0,0.385664748574779,,,,,,,,
top_pagerank,10,Bộ Công Thương,ORGANIZATION,16.0,0.0012255883657007,0.000287882811442,3.0,0.2007284316984755,,,,,,,,
top_brokers,1,Apple,ORGANIZATION,73.0,0.0010286409354198,0.0015872143640286,9.0,0.4460903773658382,0.0142849292762574,,,,,,,
top_brokers,2,FPT,ORGANIZATION,91.0,0.0031114750343618,0.0016453159610906,8.0,0.7197846428948099,0.0131625276887248,,,,,,,
top_brokers,3,Viettel,ORGANIZATION,69.0,0.0026050955729406,0.001863479394278,7.0,0.6394218187990023,0.013044355759945999,,,,,,,
top_brokers,4,Nvidia,ORGANIZATION,38.0,0.0005833363276365,0.0012660870037853,9.0,0.2815888070317654,0.011394783034067699,,,,,,,
top_brokers,5,Google,ORGANIZATION,40.0,0.0013886616191271,0.0014008297549503,7.0,0.385664748574779,0.0098058082846521,,,,,,,
top_brokers,6,Samsung,ORGANIZATION,31.0,0.000462596471117,0.0013050979152975,7.0,0.2451823608423443,0.0091356854070825,,,,,,,
top_brokers,7,CMC,ORGANIZATION,28.0,0.0008142400870181,0.0011548215139089,6.0,0.2660415593144508,0.006928929083453399,,,,,,,
