subject,subject_type,relation,object,object_type,confidence,frequency,weight,source_id,source_text
Roland Staub,PERSON,LÃNH_ĐẠO,Quỹ đầu tư Finance Suisse,ORGANIZATION,0.8461999893188477,1,0.8461999893188477,2,"Ngày 16/1, tỉnh Bình Định đã chào đón hai nhà đầu tư quốc tế lớn là ông Roland Staub - Chủ tịch Quỹ đầu tư Finance Suiss"
ngành game,INDUSTRY,CÓ_GIÁ_TRỊ,66 tỷ USD,MONEY,0.7494999766349792,1,0.7494999766349792,3,"Doanh thu ngành game tại Việt Nam được dự đoán đạt 1,66 tỷ USD vào năm 2025, và tiếp tục tăng trưởng đều 9,77% mỗi năm, "
Việt Nam,LOCATION,CÓ_GIÁ_TRỊ,12 triệu,MONEY,0.75,1,0.75,3,"Doanh thu ngành game tại Việt Nam được dự đoán đạt 1,66 tỷ USD vào năm 2025, và tiếp tục tăng trưởng đều 9,77% mỗi năm, "
Việt Nam,LOCATION,CÓ_GIÁ_TRỊ,"10,56 tỷ",MONEY,0.7486000061035156,1,0.7486000061035156,6,"Theo báo cáo của Tổng cục Hải Quan, tính đến ngày 15/10/2024, tổng kim ngạch xuất nhập khẩu hàng hóa của Việt Nam đạt 61"
Cục Quản lý và Phát triển thị trường trong nước,ORGANIZATION,HỢP_TÁC,Tạp chí Tiếp thị và Gia đình,ORGANIZATION,0.7997000217437744,1,0.7997000217437744,14,"Quốc hội cũng vừa thông qua Luật Thương mại điện tử năm 2025, tạo ra một hành lang pháp lý mới, mạnh mẽ hơn, chặt chẽ hơ"
Tạp chí Tiếp thị và Gia đình,ORGANIZATION,HỢP_TÁC,Cục Quản lý và Phát triển thị trường trong nước,ORGANIZATION,0.7997000217437744,1,0.7997000217437744,14,"Quốc hội cũng vừa thông qua Luật Thương mại điện tử năm 2025, tạo ra một hành lang pháp lý mới, mạnh mẽ hơn, chặt chẽ hơ"
Công an TP Hà Nội,ORGANIZATION,HỢP_TÁC,Văn phòng UBND TP Hà Nội,ORGANIZATION,0.7890999913215637,1,0.7890999913215637,17,Lãnh đạo Công an TP Hà Nội đã chia sẻ những vấn đề liên quan đến công tác phòng cháy chữa cháy trên địa bàn Thủ đô thời 
Văn phòng UBND TP Hà Nội,ORGANIZATION,HỢP_TÁC,Công an TP Hà Nội,ORGANIZATION,0.7890999913215637,1,0.7890999913215637,17,Lãnh đạo Công an TP Hà Nội đã chia sẻ những vấn đề liên quan đến công tác phòng cháy chữa cháy trên địa bàn Thủ đô thời 
Nguyễn Việt,PERSON,LÃNH_ĐẠO,Sở Thông tin và Truyền thông Hà Nội,ORGANIZATION,0.8499000072479248,1,0.8499000072479248,17,"Ông Nguyễn Việt Hùng, Giám đốc Sở Thông tin và Truyền thông Hà Nội cho biết, hội thảo nhằm đưa ra các bài toán cấp thiết"
Apple,ORGANIZATION,SẢN_XUẤT,AirPods Pro 3,PRODUCT,0.7799999713897705,1,0.7799999713897705,19,"Apple Watch Series 11, Ultra 3 và SE 3 Apple Watch Series 11 được kỳ vọng sẽ có tính năng mới về sức khỏe, như theo dõi "
Nguyễn Tuấn,PERSON,LÃNH_ĐẠO,Chuyển đổi số,ORGANIZATION,0.8319000005722046,5,4.1595001220703125,21,"Khi công nghệ 5G dần trở thành nền tảng cho kỷ nguyên số, Việt Nam đang nỗ lực để bắt kịp xu thế này. Tuy nhiên, việc tr"
CMC,ORGANIZATION,CÓ_GIÁ_TRỊ,250 triệu USD,MONEY,0.75,1,0.75,23,CMC khởi động dự án trung tâm dữ liệu trị giá 250 triệu USD tại TP.HCM
GDP và dự kiến,UNKNOWN,TĂNG_TRƯỞNG,134%,UNKNOWN,0.7,1,0.7,26,EU đang đối mặt với thách thức trong việc thống nhất quan điểm giữa các quốc gia thành viên. Trong khi Pháp và Đức ủng h
Ông dự báo giá vàng có thể,UNKNOWN,CÓ_GIÁ_TRỊ,4.000 USD,UNKNOWN,0.75,1,0.75,26,Ông viện dẫn việc Warren Buffett đang nắm giữ lượng tiền mặt kỷ lục 348 tỷ USD như một dấu hiệu cho thấy những nhà đầu t
Phạm Văn,PERSON,LÃNH_ĐẠO,Japfa Việt Nam,ORGANIZATION,0.8490999937057495,1,0.8490999937057495,32,"Ông Phạm Văn Tuân, Giám đốc Hành chính Nhân sự Japfa Việt Nam chia sẻ: ""Cùng với mục tiêu chuyển đổi toàn diện trong năm"
Nguyễn Quốc Toàn,PERSON,LÃNH_ĐẠO,9Pay,ORGANIZATION,0.8370000123977661,1,0.8370000123977661,36,"CMC Cloud giúp 9Pay tận dụng hạ tầng đám mây mạnh mẽ mà không cần đầu tư vào phần cứng vật lý, giảm chi phí và tăng cườn"
Bộ Công an,ORGANIZATION,HỢP_TÁC,Hiệp hội An ninh mạng quốc gia,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,37,"Ngày 17/12/2024, Bộ Công an phối hợp Hiệp hội An ninh mạng quốc gia lần đầu tiên tổ chức Diễn tập An ninh mạng quốc gia "
Hiệp hội An ninh mạng quốc gia,ORGANIZATION,HỢP_TÁC,Bộ Công an,ORGANIZATION,0.7998999953269958,1,0.7998999953269958,37,"Ngày 17/12/2024, Bộ Công an phối hợp Hiệp hội An ninh mạng quốc gia lần đầu tiên tổ chức Diễn tập An ninh mạng quốc gia "
Lê Xuân,PERSON,LÃNH_ĐẠO,Trung tâm An ninh mạng Quốc gia,ORGANIZATION,0.8499000072479248,3,2.5497000217437744,9927,"Thượng tá Lê Xuân Thủy, Giám đốc Trung tâm An ninh mạng Quốc gia (A05), Bộ Công an cho hay, mới đây, một bệnh viện tại V"
