feature,importance,cumulative_importance,rank
log_pagerank,0.2131077678991261,0.2131077678991261,1
pr_per_degree,0.2085104413459272,0.42161820924505333,2
in_out_ratio,0.09211398343590187,0.5137321926809552,3
object_mean_confidence,0.0625923995542423,0.5763245922351975,4
in_degree,0.056845860437390545,0.6331704526725881,5
object_total_frequency,0.05534917144986356,0.6885196241224516,6
ego_max_degree,0.054214835909388005,0.7427344600318396,7
object_relation_types,0.04700101122326367,0.7897354712551032,8
ego_mean_degree,0.046896753990773914,0.8366322252458771,9
object_mean_frequency,0.036286216559789794,0.8729184418056669,10
log_in_degree,0.029497772061306854,0.9024162138669738,11
log_out_degree,0.019187141934442178,0.921603355801416,12
subject_relation_types,0.016012454055537702,0.9376158098569537,13
subject_mean_confidence,0.012915187326735715,0.9505309971836894,14
is_high_pagerank,0.01086185663767323,0.9613928538213626,15
subject_mean_frequency,0.010043946416617988,0.9714368002379806,16
out_degree,0.00660714199451058,0.9780439422324912,17
triple_total_appearances,0.005886623134604224,0.9839305653670954,18
triple_overall_conf_mean,0.0054345287977689855,0.9893650941648644,19
type_PERSON,0.003126220852292486,0.9924913150171569,20
triple_rel_type_coverage,0.002984188594578382,0.9954755036117353,21
entity_type_freq,0.0017160696511490177,0.9971915732628843,22
has_rel_HỢP_TÁC,0.0008216611152356404,0.99801323437812,23
type_MONEY,0.0005734651041049763,0.9985866994822249,24
ego_type_diversity,0.0005177166143370437,0.999104416096562,25
type_UNKNOWN,0.0003270071422829245,0.9994314232388449,26
log_betweenness,0.00011942428329571786,0.9995508475221406,27
type_INDUSTRY,8.643557093028052e-05,0.9996372830930709,28
type_ORGANIZATION,7.875490745314304e-05,0.999716038000524,29
has_rel_LÃNH_ĐẠO,6.78825860941622e-05,0.9997839205866181,30
bw_per_degree,6.444032250380041e-05,0.999848360909122,31
type_PRODUCT,4.035068747277072e-05,0.9998887115965948,32
type_EVENT,3.160295343275535e-05,0.9999203145500275,33
ego_density,2.854982648171272e-05,0.9999488643765092,34
has_rel_SẢN_XUẤT,1.6392686036506596e-05,0.9999652570625457,35
type_PERCENT,1.3135416347866062e-05,0.9999783924788935,36
has_rel_ĐẦU_TƯ,1.2425992715690296e-05,0.9999908184716092,37
type_LOCATION,5.887400205399436e-06,0.9999967058718146,38
is_bridge,3.100727089254713e-06,0.9999998065989038,39
ego_triangles,1.9340109614885599e-07,0.9999999999999999,40
type_DATE,1.1797885385230968e-18,0.9999999999999999,41
